coded_semel,semel,num,YESHUV_CODE,"prec_recruitment",total
616,432,54.15080819,2,0.640059701,34.65975013
699,2051,54.09800363,2,0.640059701,34.62595205
534,2047,53.86150073,2,0.640059701,34.47457608
865,816,53.8366892,2,0.640059701,34.45869522
902,873,53.31602342,2,0.640059701,34.12543803
238,295,52.88070813,2,0.640059701,33.84681026
770,285,52.69126214,2,0.640059701,33.72555352
478,27,52.48148148,2,0.640059701,33.59128137
774,2064,52.35912821,2,0.640059701,33.51296797
233,852,51.94356491,2,0.640059701,33.24698265
480,716,51.93788663,2,0.640059701,33.24334821
870,2035,51.78845843,2,0.640059701,33.14770524
871,63,51.76911299,2,0.640059701,33.13532301
448,3782,51.5,2,0.640059701,32.96307463
900,127,51.28842863,2,0.640059701,32.82765632
143,1108,51.26844674,2,0.640059701,32.81486672
177,443,51.22770405,2,0.640059701,32.78878896
877,751,51.20501139,2,0.640059701,32.77426431
469,1128,51.18047799,2,0.640059701,32.75856146
652,330,51.11060647,2,0.640059701,32.71383952
795,2057,50.79913607,2,0.640059701,32.51447987
440,1364,50.58908282,2,0.640059701,32.38003325
686,572,50.53867377,2,0.640059701,32.34776845
891,416,50.53646366,2,0.640059701,32.34635384
697,1214,50.28870293,2,0.640059701,32.18777219
445,1196,50.23651942,2,0.640059701,32.15437162
365,1361,50.17580074,2,0.640059701,32.11550804
853,1230,49.96085804,2,0.640059701,31.97793188
399,281,49.6749968,2,0.640059701,31.79496362
915,1283,49.58608696,2,0.640059701,31.73805602
684,792,49.30029316,2,0.640059701,31.55513092
856,49,49.17827869,2,0.640059701,31.47703438
668,106,49.12027967,2,0.640059701,31.43991154
793,836,49.05142962,2,0.640059701,31.3958434
370,32,49.0182398,2,0.640059701,31.37459993
624,369,49.00167815,2,0.640059701,31.36399949
714,1256,48.99522212,2,0.640059701,31.35986724
500,1151,48.96170651,2,0.640059701,31.33841525
718,408,48.95240695,2,0.640059701,31.33246298
598,273,48.82784763,2,0.640059701,31.25273758
858,345,48.80207414,2,0.640059701,31.23624101
739,2026,48.63072776,2,0.640059701,31.12656909
742,264,48.46094301,2,0.640059701,31.01789672
34,1232,48.34660515,2,0.640059701,30.94471366
431,346,48.23113337,1,0.640059701,30.87080483
874,319,48.19438081,1,0.640059701,30.84728099
376,750,48.17658218,1,0.640059701,30.83588881
329,1223,47.74958101,1,0.640059701,30.56258257
450,3639,47.74926686,1,0.640059701,30.56238149
312,3645,47.41134243,1,0.640059701,30.34608968
310,1067,46.90849554,1,0.640059701,30.02423765
888,1205,46.79215686,1,0.640059701,29.94977395
266,1125,46.79099974,1,0.640059701,29.94903333
261,1079,46.77638506,1,0.640059701,29.93967906
237,15,46.63636364,1,0.640059701,29.85005699
317,846,46.40686893,1,0.640059701,29.70316667
645,596,46.24433162,1,0.640059701,29.59913309
461,859,45.9384154,1,0.640059701,29.40332845
749,3646,45.76013514,1,0.640059701,29.28921844
691,713,45.75710075,1,0.640059701,29.28727625
701,1136,45.65954014,1,0.640059701,29.22483163
704,4002,45.54720475,1,0.640059701,29.15293028
713,143,45.4958957,1,0.640059701,29.12008942
726,287,45.3214964,1,0.640059701,29.00846346
